gene_id	gene_name	N2L	N2S	N3L	N3S	N4L	N4S	NE3L	NE3S	NE4L	NE4S	NE5L	NE5S	NW3L	NW3S	NW4L	NW4S	NW5L	NW5S	W3L	W3S	W4S	W5L	W5S
MarorNgaro-1	MarorNgaro-1	2625	1052	1614	1785	1612	2111	1519	2474	1147	1427	954	1012	1545	2439	2140	1783	1000	1198	2135	926	118	1739	647
MarorNgaro-2	MarorNgaro-2	3137	765	1893	1965	1703	2085	1915	2590	1342	1176	1370	950	1978	2218	2170	1774	1045	1098	2148	501	85	1850	369
MarorNgaro-3	MarorNgaro-3	1042	230	569	363	750	440	483	404	350	347	383	279	744	445	940	333	435	300	835	142	24	734	61
MarorNgaro-4	MarorNgaro-4	96	98	56	165	54	273	76	226	24	145	36	67	85	278	72	179	62	65	62	67	10	68	56
MarorNovosib-1	MarorNovosib-1	0	2	0	0	0	2	3	1	0	0	0	0	0	0	0	2	0	0	1	3	0	0	0
MarorP-1	MarorP-1	32	7	31	16	21	29	39	10	12	15	23	8	37	7	33	13	10	7	45	6	3	22	5
MarorP-2	MarorP-2	15	6	20	12	10	11	22	17	6	7	8	11	13	11	19	9	7	14	19	4	2	14	3
MarorP-3	MarorP-3	21	23.883	16	45	28.901	87.613	28.496	94.828	12.791	58.758	19	41	20	48.95	30.907	74.97	17.766	37	31	19.795	9	12	12.567
MarorP-4	MarorP-4	3	2.117	0	0	2.099	4.387	5.504	5.172	2.209	3.242	0	6	0	1.05	2.093	1.03	3.234	0	0	1.205	0	0	5.433
MarorP-5	MarorP-5	0	0	0	1	0	0	0	1	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0
MarorPlavaka-1	MarorPlavaka-1	4	10	16	39	13	42	8	44	4	27	9	21	5	27	6	21	8	23	16	21	6	12	10
MarorPlavaka-10	MarorPlavaka-10	1	1	1	0	0	1	1	0	0	2	3	1	1	1	0	0	0	1	2	0	1	2	0
MarorPlavaka-11	MarorPlavaka-11	0	0	2	1	0	0	0	4	0	1	0	1	0	1	2	0	3	0	2	0	1	0	0
MarorPlavaka-12	MarorPlavaka-12	1	13	6	21	1	36	2	65	0	27	0	14	1	19	1	27	4	10	0	12	2	0	13
MarorPlavaka-13	MarorPlavaka-13	70	16	67	35	45	30	114	41	67	21	32	22	81	9	48	30	56	25	129	21	7	72	7
MarorPlavaka-14	MarorPlavaka-14	5	16	8	45	3	67	9	83	6	70	10	50	7	19	8	60	7	15	9	14	9	7	59
MarorPlavaka-15	MarorPlavaka-15	13	17	14	54	19	43	22	52	19	39	14	39	5	10	12	37	8	17	23	5	10	16	7
MarorPlavaka-16	MarorPlavaka-16	29.846	32.372	31.483	74.184	12.827	60.245	34.391	54.371	25.734	84.902	30.724	60.348	30.581	25.844	36.761	94.662	26.228	48.726	50.868	62.621	9.433	29.499	16.11
MarorPlavaka-17	MarorPlavaka-17	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
MarorPlavaka-18	MarorPlavaka-18	17	11	22	43	18	47	18	42	13	27	16	28	11	14	33	26	11	32	41	49	9	18	21
MarorPlavaka-19	MarorPlavaka-19	16	12	16	53	10	30	18	35	7	30	12	86	25	18	14	43	13	19	24	50	25	24	33
MarorPlavaka-2	MarorPlavaka-2	517	242	413	474	281	349	599	284	293	218	188	207	295	99	349	659	430	171	474	144	61	434	169
MarorPlavaka-20	MarorPlavaka-20	7	1	10	3	1	4	2	5	6	5	4	1	6	3	2	5	9	6	11	1	1	9	4
MarorPlavaka-21	MarorPlavaka-21	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
MarorPlavaka-22	MarorPlavaka-22	0	3	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
MarorPlavaka-23	MarorPlavaka-23	5	2	3	0	1	0	6	2	2	0	4	1	3	4	4	4	3	4	4	2	1	4	0
MarorPlavaka-3	MarorPlavaka-3	4	3	7	16	6	13	7	14	4	12	1	31	0	8	6	9	1	8	6	14	8	8	27
MarorPlavaka-4	MarorPlavaka-4	0	14	1	4	1	6	1	5	0	2	0	3	3	18	0	24	0	5	1	7	0	0	1
